Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2000,Deceased Donor,35-49 Years,"4,765",96,62,11,523,74,34,2,29,341,90,17,208,56,29,25,52,106,6,170,125,126,171,12,112,46,13,4,110,18,280,137,6,242,69,50,367,17,7,84,4,114,301,27,3,103,133,12,141
2000,Deceased Donor,50-64 Years,"3,179",67,37,11,386,28,22,0,28,197,64,12,120,27,47,13,45,57,14,137,94,94,114,2,51,33,7,2,79,6,226,103,3,162,29,50,256,4,9,28,3,72,207,19,6,61,52,12,83
2000,Deceased Donor,65 +,588,15,6,0,62,2,4,0,5,67,6,2,30,0,4,1,1,7,0,29,11,4,23,0,11,10,0,0,15,4,79,17,2,11,5,9,79,0,1,2,1,4,18,0,0,8,10,0,23
2000,Deceased Donor,Unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Living Donor,All Donor Ages,"5,939",115,90,45,680,111,75,6,109,168,108,7,252,61,62,25,41,66,26,265,223,250,311,1,145,36,20,12,146,25,507,138,12,296,22,86,285,31,32,31,8,121,326,69,8,187,135,19,145
2000,Living Donor,6-10 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Living Donor,18-34 Years,"2,044",44,27,9,236,38,21,5,49,59,41,2,88,19,22,14,15,25,7,82,83,77,103,0,46,17,11,3,50,12,181,47,2,99,6,25,94,13,17,14,4,46,117,27,3,59,36,7,42
2000,Living Donor,35-49 Years,"2,808",56,43,24,323,51,41,1,46,78,44,3,124,37,31,9,23,31,16,126,99,124,142,1,76,15,5,8,57,10,233,71,7,148,13,38,138,14,11,12,2,49,152,35,2,99,56,7,77
2000,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Living Donor,50-64 Years,"1,030",15,20,12,111,22,12,0,13,31,23,2,39,5,8,2,3,10,3,53,39,48,56,0,21,4,4,1,37,3,86,19,3,47,3,22,49,4,4,4,2,26,54,7,3,27,42,5,26
2000,Living Donor,65 +,52,0,0,0,10,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,2,1,10,0,1,0,0,0,2,0,6,1,0,2,0,1,3,0,0,0,0,0,3,0,0,2,1,0,0
2000,Living Donor,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1999,All Donor Types,All Donor Ages,"22,030",455,273,116,"2,462",316,197,1,252,"1,343",433,60,940,262,196,149,256,381,53,754,540,673,807,44,607,207,53,20,455,73,"1,402",606,30,974,203,244,"1,659",61,53,265,34,533,"1,603",244,24,511,454,79,673
1999,All Donor Types,< 1 Year,160,3,0,5,24,5,0,0,2,12,3,0,6,2,1,0,0,0,0,3,2,5,1,0,13,19,0,0,0,0,12,3,0,2,0,0,23,0,0,1,1,1,7,1,0,1,0,0,2
1999,All Donor Types,1-5 Years,490,11,3,7,91,10,2,0,3,42,6,0,21,4,5,0,0,11,0,15,14,8,5,0,14,9,0,0,4,0,26,12,0,20,5,0,49,1,2,7,3,5,45,1,2,2,2,1,22
1999,All Donor Types,6-10 Years,524,8,1,2,69,5,3,0,1,42,6,0,18,7,5,2,10,12,3,10,14,11,19,1,8,15,0,0,12,2,26,11,0,31,3,10,45,1,1,8,1,18,36,6,0,8,12,2,19
1999,All Donor Types,11-17 Years,"2,010",25,18,6,199,43,8,0,11,133,60,4,96,48,27,27,42,48,1,54,34,55,55,7,103,18,6,1,26,3,104,56,0,81,23,21,129,3,0,39,1,50,167,32,4,43,43,3,53
1999,All Donor Types,18-34 Years,"7,104",160,116,48,787,104,69,1,85,428,166,16,294,74,51,53,71,121,16,223,147,224,240,21,182,55,22,6,124,18,399,209,9,324,69,64,481,29,18,86,9,216,603,97,10,177,144,29,209
1999,All Donor Types,35-49 Years,"7,171",149,83,36,785,102,76,0,106,392,122,13,297,89,72,56,80,118,19,279,214,244,308,12,198,59,20,10,140,38,439,203,15,310,62,68,531,21,24,73,11,153,461,79,6,181,172,27,218
1999,All Donor Types,50-64 Years,"3,839",91,42,11,454,44,38,0,37,227,65,27,167,38,31,11,52,57,14,124,97,116,160,3,76,26,5,2,122,12,273,94,5,183,34,76,307,5,7,40,7,82,232,27,2,91,73,14,138
1999,All Donor Types,65 +,728,8,9,1,53,3,1,0,7,66,5,0,41,0,4,0,1,14,0,46,18,10,19,0,13,6,0,1,27,0,123,18,1,23,7,5,93,1,1,11,1,8,51,1,0,8,8,3,12
1999,All Donor Types,Unknown,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1999,Deceased Donor,All Donor Ages,"17,011",327,188,67,"1,915",243,127,0,131,"1,157",356,51,741,213,140,125,224,325,33,506,378,461,545,43,464,162,37,11,332,48,"1,030",464,14,797,178,185,"1,461",37,29,215,25,419,"1,343",170,17,351,319,59,548
1999,Deceased Donor,< 1 Year,160,3,0,5,24,5,0,0,2,12,3,0,6,2,1,0,0,0,0,3,2,5,1,0,13,19,0,0,0,0,12,3,0,2,0,0,23,0,0,1,1,1,7,1,0,1,0,0,2
1999,Deceased Donor,1-5 Years,490,11,3,7,91,10,2,0,3,42,6,0,21,4,5,0,0,11,0,15,14,8,5,0,14,9,0,0,4,0,26,12,0,20,5,0,49,1,2,7,3,5,45,1,2,2,2,1,22
1999,Deceased Donor,6-10 Years,524,8,1,2,69,5,3,0,1,42,6,0,18,7,5,2,10,12,3,10,14,11,19,1,8,15,0,0,12,2,26,11,0,31,3,10,45,1,1,8,1,18,36,6,0,8,12,2,19
1999,Deceased Donor,11-17 Years,"2,010",25,18,6,199,43,8,0,11,133,60,4,96,48,27,27,42,48,1,54,34,55,55,7,103,18,6,1,26,3,104,56,0,81,23,21,129,3,0,39,1,50,167,32,4,43,43,3,53
1999,Deceased Donor,18-34 Years,"5,340",126,76,24,568,79,46,0,36,350,138,13,218,60,36,46,61,99,14,154,97,147,136,21,134,39,15,5,84,11,276,167,4,248,61,51,422,16,8,66,5,174,510,71,5,127,101,25,170
1999,Deceased Donor,35-49 Years,"4,838",89,53,14,540,69,47,0,52,313,87,9,205,62,40,44,63,94,7,155,134,149,204,11,125,36,12,4,86,22,264,130,6,238,54,43,428,13,15,50,7,98,335,41,5,106,104,15,160
1999,Deceased Donor,50-64 Years,"2,961",57,28,8,376,29,21,0,19,198,51,25,136,30,22,6,47,47,8,75,66,79,108,3,55,20,4,1,95,10,208,69,3,157,25,56,273,2,2,33,6,65,193,18,1,57,49,10,110
1999,Deceased Donor,65 +,687,8,9,1,48,3,0,0,7,66,5,0,41,0,4,0,1,14,0,40,17,7,17,0,12,6,0,0,25,0,114,16,1,20,7,4,92,1,1,11,1,8,50,0,0,7,8,3,12
1999,Deceased Donor,Unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Living Donor,All Donor Ages,"5,019",128,85,49,547,73,70,1,121,186,77,9,199,49,56,24,32,56,20,248,162,212,262,1,143,45,16,9,123,25,372,142,16,177,25,59,198,24,24,50,9,114,260,74,7,160,135,20,125
1999,Living Donor,18-34 Years,"1,764",34,40,24,219,25,23,1,49,78,28,3,76,14,15,7,10,22,2,69,50,77,104,0,48,16,7,1,40,7,123,42,5,76,8,13,59,13,10,20,4,42,93,26,5,50,43,4,39
1999,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Living Donor,35-49 Years,"2,333",60,30,22,245,33,29,0,54,79,35,4,92,27,32,12,17,24,12,124,80,95,104,1,73,23,8,6,54,16,175,73,9,72,8,25,103,8,9,23,4,55,126,38,1,75,68,12,58
1999,Living Donor,50-64 Years,878,34,14,3,78,15,17,0,18,29,14,2,31,8,9,5,5,10,6,49,31,37,52,0,21,6,1,1,27,2,65,25,2,26,9,20,34,3,5,7,1,17,39,9,1,34,24,4,28
1999,Living Donor,65 +,41,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,2,0,1,0,0,1,2,0,9,2,0,3,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
1999,Living Donor,Unknown,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1998,All Donor Types,All Donor Ages,"21,526",468,259,108,"2,571",320,190,1,260,"1,239",458,46,895,306,188,125,272,347,50,586,560,699,728,63,636,236,59,26,324,85,"1,377",633,39,"1,007",206,209,"1,637",71,52,221,29,528,"1,523",230,22,501,423,74,639
1998,All Donor Types,< 1 Year,158,6,0,1,17,8,0,0,1,28,1,0,7,3,0,0,0,2,0,2,2,2,1,1,7,23,0,0,0,0,4,2,0,3,3,0,21,0,0,0,1,2,5,1,0,0,0,0,4
1998,All Donor Types,1-5 Years,545,9,1,5,78,14,2,0,6,32,10,0,24,1,7,0,4,7,0,7,18,11,5,0,16,25,0,0,4,0,27,9,0,26,2,0,92,1,0,11,3,11,53,3,0,4,5,0,12
1998,All Donor Types,6-10 Years,524,9,11,6,62,10,4,0,7,53,6,1,29,6,6,2,2,16,0,9,15,23,9,2,20,15,0,0,2,1,29,15,0,33,1,4,43,1,0,4,0,4,36,3,0,4,4,1,16
1998,All Donor Types,11-17 Years,"2,201",41,26,15,208,35,17,0,11,120,61,7,56,43,20,22,26,70,6,35,50,72,81,9,97,28,11,0,29,6,88,48,4,114,29,30,212,8,5,21,3,55,207,25,6,46,49,7,42
1998,All Donor Types,18-34 Years,"7,216",175,123,29,842,112,70,0,106,393,180,10,309,120,61,60,98,127,19,195,181,262,206,26,207,53,11,11,96,33,440,225,12,320,55,59,481,26,19,90,5,197,531,101,7,179,132,28,194
1998,All Donor Types,35-49 Years,"6,586",141,70,39,864,93,59,1,82,335,130,13,269,98,59,26,95,80,17,210,184,218,251,14,194,49,22,8,110,27,418,205,12,292,66,71,465,19,16,66,9,174,453,53,6,159,118,20,206
1998,All Donor Types,50-64 Years,"3,564",76,24,12,439,44,36,0,45,209,66,15,154,34,29,15,43,42,6,98,97,100,141,11,82,30,15,6,72,16,250,95,11,189,46,39,250,15,10,23,5,78,198,40,0,98,102,14,144
1998,All Donor Types,65 +,729,11,4,1,61,4,2,0,2,69,4,0,47,1,6,0,4,3,2,30,13,11,34,0,13,13,0,1,11,2,121,34,0,29,4,6,72,1,2,6,3,7,39,4,3,11,13,4,21
1998,All Donor Types,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1998,Deceased Donor,All Donor Ages,"16,980",364,200,64,"2,027",241,120,0,148,"1,110",395,34,676,256,137,107,249,301,37,384,390,502,521,56,521,212,46,20,254,70,"1,043",493,21,840,178,157,"1,459",40,27,180,28,412,"1,252",145,13,386,307,57,500
1998,Deceased Donor,< 1 Year,158,6,0,1,17,8,0,0,1,28,1,0,7,3,0,0,0,2,0,2,2,2,1,1,7,23,0,0,0,0,4,2,0,3,3,0,21,0,0,0,1,2,5,1,0,0,0,0,4
1998,Deceased Donor,1-5 Years,545,9,1,5,78,14,2,0,6,32,10,0,24,1,7,0,4,7,0,7,18,11,5,0,16,25,0,0,4,0,27,9,0,26,2,0,92,1,0,11,3,11,53,3,0,4,5,0,12
1998,Deceased Donor,6-10 Years,523,9,11,6,62,10,4,0,7,52,6,1,29,6,6,2,2,16,0,9,15,23,9,2,20,15,0,0,2,1,29,15,0,33,1,4,43,1,0,4,0,4,36,3,0,4,4,1,16
1998,Deceased Donor,11-17 Years,"2,196",41,26,15,208,35,17,0,11,120,61,7,56,43,20,22,26,70,6,35,50,72,80,9,95,28,11,0,29,6,88,48,4,114,29,30,212,8,5,20,3,55,206,25,6,46,49,7,42
1998,Deceased Donor,18-34 Years,"5,610",143,98,14,650,92,52,0,56,345,151,5,209,104,46,53,91,101,13,133,134,181,140,22,160,43,10,10,68,26,317,185,7,263,49,45,421,13,10,72,5,156,437,72,2,136,98,18,154
1998,Deceased Donor,35-49 Years,"4,503",85,42,18,600,47,29,0,44,282,104,9,176,73,36,20,84,66,12,105,98,132,145,11,145,42,16,3,83,20,287,136,5,217,50,39,373,5,6,51,8,123,329,9,3,111,67,16,141
1998,Deceased Donor,50-64 Years,"2,766",61,18,4,356,31,15,0,21,182,59,12,128,25,19,10,39,36,4,64,62,71,111,11,67,23,9,6,58,15,179,69,5,156,40,34,225,11,4,16,5,56,150,28,0,74,72,11,114
1998,Deceased Donor,65 +,677,10,4,1,56,4,1,0,2,69,3,0,47,1,3,0,3,3,2,29,11,10,30,0,11,13,0,1,10,2,112,29,0,27,4,5,71,1,2,6,3,5,36,4,2,11,12,4,17
1998,Deceased Donor,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,Living Donor,All Donor Ages,"4,546",104,59,44,544,79,70,1,112,129,63,12,219,50,51,18,23,46,13,202,170,197,207,7,115,24,13,6,70,15,334,140,18,167,28,52,178,31,25,41,1,116,271,85,9,115,116,17,139
1998,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Living Donor,6-10 Years,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Living Donor,11-17 Years,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1998,Living Donor,18-34 Years,"1,606",32,25,15,192,20,18,0,50,48,29,5,100,16,15,7,7,26,6,62,47,81,66,4,47,10,1,1,28,7,123,40,5,57,6,14,60,13,9,18,0,41,94,29,5,43,34,10,40
1998,Living Donor,35-49 Years,"2,083",56,28,21,264,46,30,1,38,53,26,4,93,25,23,6,11,14,5,105,86,86,106,3,49,7,6,5,27,7,131,69,7,75,16,32,92,14,10,15,1,51,124,44,3,48,51,4,65
1998,Living Donor,50-64 Years,798,15,6,8,83,13,21,0,24,27,7,3,26,9,10,5,4,6,2,34,35,29,30,0,15,7,6,0,14,1,71,26,6,33,6,5,25,4,6,7,0,22,48,12,0,24,30,3,30
1998,Living Donor,65 +,52,1,0,0,5,0,1,0,0,0,1,0,0,0,3,0,1,0,0,1,2,1,4,0,2,0,0,0,1,0,9,5,0,2,0,1,1,0,0,0,0,2,3,0,1,0,1,0,4
1998,Living Donor,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1997,All Donor Types,All Donor Ages,"20,316",445,212,136,"2,517",296,188,4,175,"1,188",438,41,892,272,178,114,257,334,32,501,595,641,672,34,592,223,65,20,324,65,"1,251",573,27,929,163,220,"1,700",41,37,186,16,498,"1,401",208,25,521,355,73,641
1997,All Donor Types,< 1 Year,151,7,1,5,25,8,0,0,0,15,0,0,11,3,0,0,0,0,0,2,1,1,0,0,10,17,0,0,0,0,5,1,0,2,1,0,19,0,0,2,0,4,8,0,0,2,0,0,1
1997,All Donor Types,1-5 Years,563,17,3,7,77,9,0,0,1,44,11,0,28,6,2,0,7,4,0,13,12,8,9,0,21,28,0,0,6,0,31,10,2,20,7,0,82,3,0,9,0,7,50,4,0,9,1,2,13
1997,All Donor Types,6-10 Years,485,6,7,1,74,8,5,1,0,31,8,2,29,0,1,2,7,5,1,6,13,18,5,1,19,11,2,0,6,1,27,15,0,20,1,2,55,1,0,4,0,12,44,7,1,4,3,3,16
1997,All Donor Types,11-17 Years,"2,272",45,25,20,291,62,11,1,15,120,56,4,102,39,24,16,35,53,1,34,47,51,93,6,83,28,7,1,27,9,104,60,0,99,29,18,200,0,7,8,2,46,217,36,1,47,28,10,54
1997,All Donor Types,18-34 Years,"6,969",165,90,54,802,89,81,2,62,410,205,11,317,113,59,48,95,136,13,196,197,237,225,9,206,61,19,3,125,23,348,198,6,296,48,66,535,15,7,74,6,194,495,80,6,177,133,14,218
1997,All Donor Types,35-49 Years,"5,963",126,68,34,752,71,56,0,62,334,113,14,241,81,57,36,49,88,12,142,209,216,190,14,169,34,24,9,85,16,394,158,9,288,51,96,446,15,11,51,6,159,380,54,10,188,132,23,190
1997,All Donor Types,50-64 Years,"3,312",67,16,15,436,45,32,0,34,186,43,10,130,26,29,12,55,44,4,87,99,99,127,4,73,34,13,7,66,15,238,111,9,177,21,29,301,6,9,37,2,67,179,24,7,81,52,18,136
1997,All Donor Types,65 +,596,12,1,0,60,4,3,0,0,45,2,0,34,4,6,0,9,4,1,21,17,11,23,0,11,10,0,0,9,1,104,20,1,27,5,9,62,1,3,1,0,9,28,3,0,13,6,3,13
1997,All Donor Types,Unknown,5,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Deceased Donor,All Donor Ages,"16,266",336,152,99,"2,011",244,133,3,131,"1,060",384,36,717,227,144,96,227,278,15,324,433,411,472,27,482,195,51,10,266,54,961,461,18,752,141,169,"1,518",15,28,152,16,391,"1,199",146,14,434,265,59,509
1997,Deceased Donor,< 1 Year,151,7,1,5,25,8,0,0,0,15,0,0,11,3,0,0,0,0,0,2,1,1,0,0,10,17,0,0,0,0,5,1,0,2,1,0,19,0,0,2,0,4,8,0,0,2,0,0,1
1997,Deceased Donor,1-5 Years,563,17,3,7,77,9,0,0,1,44,11,0,28,6,2,0,7,4,0,13,12,8,9,0,21,28,0,0,6,0,31,10,2,20,7,0,82,3,0,9,0,7,50,4,0,9,1,2,13
1997,Deceased Donor,6-10 Years,485,6,7,1,74,8,5,1,0,31,8,2,29,0,1,2,7,5,1,6,13,18,5,1,19,11,2,0,6,1,27,15,0,20,1,2,55,1,0,4,0,12,44,7,1,4,3,3,16
1997,Deceased Donor,11-17 Years,"2,271",45,25,20,291,62,11,1,15,120,56,4,102,39,24,16,35,53,1,34,47,51,93,6,83,28,7,1,27,9,103,60,0,99,29,18,200,0,7,8,2,46,217,36,1,47,28,10,54
1997,Deceased Donor,18-34 Years,"5,417",127,66,37,602,70,62,1,48,364,181,10,242,99,45,42,79,109,6,125,139,136,152,9,168,51,16,1,98,19,238,146,4,219,43,50,475,6,5,60,6,153,414,65,4,145,100,10,170
1997,Deceased Donor,35-49 Years,"4,163",80,42,20,521,49,32,0,40,281,89,11,164,59,41,26,39,66,4,72,141,126,100,7,112,22,15,3,70,12,265,117,3,215,39,73,358,0,6,35,6,108,288,19,3,149,88,15,132
1997,Deceased Donor,50-64 Years,"2,663",42,7,9,365,36,22,0,26,160,37,9,107,18,25,10,51,37,2,53,65,61,98,4,60,29,11,5,51,12,194,93,8,151,16,19,268,4,7,33,2,52,152,14,5,66,40,16,111
1997,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Deceased Donor,65 +,549,12,1,0,56,2,1,0,0,42,2,0,34,3,6,0,9,4,1,19,15,10,15,0,9,9,0,0,8,1,98,19,1,26,5,7,61,1,3,1,0,9,26,1,0,12,5,3,12
1997,Deceased Donor,Unknown,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Living Donor,All Donor Ages,"4,050",109,60,37,506,52,55,1,44,128,54,5,175,45,34,18,30,56,17,177,162,230,200,7,110,28,14,10,58,11,290,112,9,177,22,51,182,26,9,34,0,107,202,62,11,87,90,14,132
1997,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Living Donor,18-34 Years,"1,552",38,24,17,200,19,19,1,14,46,24,1,75,14,14,6,16,27,7,71,58,101,73,0,38,10,3,2,27,4,110,52,2,77,5,16,60,9,2,14,0,41,81,15,2,32,33,4,48
1997,Living Donor,35-49 Years,"1,800",46,26,14,231,22,24,0,22,53,24,3,77,22,16,10,10,22,8,70,68,90,90,7,57,12,9,6,15,4,129,41,6,73,12,23,88,15,5,16,0,51,92,35,7,39,44,8,58
1997,Living Donor,50-64 Years,649,25,9,6,71,9,10,0,8,26,6,1,23,8,4,2,4,7,2,34,34,38,29,0,13,5,2,2,15,3,44,18,1,26,5,10,33,2,2,4,0,15,27,10,2,15,12,2,25
1997,Living Donor,65 +,47,0,0,0,4,2,2,0,0,3,0,0,0,1,0,0,0,0,0,2,2,1,8,0,2,1,0,0,1,0,6,1,0,1,0,2,1,0,0,0,0,0,2,2,0,1,1,0,1
1997,Living Donor,Unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,All Donor Types,All Donor Ages,"19,765",450,206,112,"2,465",277,185,2,203,"1,018",371,36,941,291,178,107,268,343,31,511,597,626,656,53,534,227,45,30,297,108,"1,137",526,43,893,204,205,"1,628",25,0,217,17,478,"1,335",218,24,547,403,67,630
1996,All Donor Types,< 1 Year,150,2,0,0,22,4,0,0,0,14,2,0,10,4,0,0,0,1,0,2,2,0,1,0,15,8,0,0,0,0,3,0,0,1,0,0,40,0,0,0,0,4,11,0,0,2,0,0,2
1996,All Donor Types,1-5 Years,485,13,5,2,73,7,3,0,2,29,3,0,39,7,1,0,8,2,0,12,19,9,6,0,10,20,1,0,7,2,22,10,0,19,4,0,57,2,0,4,0,7,58,3,1,11,0,2,5
1996,All Donor Types,6-10 Years,515,23,7,1,72,10,6,0,3,37,21,0,26,4,4,1,5,9,0,10,13,13,12,1,36,14,0,2,7,0,16,14,0,12,6,8,34,0,0,6,0,8,25,5,1,15,17,0,11
1996,All Donor Types,11-17 Years,"2,344",69,23,11,267,53,16,0,11,118,51,4,107,63,13,15,42,60,5,58,40,91,85,14,75,34,2,0,24,5,99,53,1,83,35,21,185,2,0,26,1,49,203,45,3,57,65,6,54
1996,All Donor Types,18-34 Years,"6,710",174,94,55,825,88,58,0,81,341,140,10,323,99,63,57,106,112,7,165,199,182,198,14,198,61,19,8,107,54,339,196,14,315,73,54,461,10,0,72,4,209,461,75,6,193,110,23,257
1996,All Donor Types,35-49 Years,"5,907",90,49,31,744,89,66,2,70,277,115,12,288,65,65,21,70,109,11,173,199,217,200,18,109,57,18,15,86,35,363,164,19,307,59,73,417,8,0,89,5,143,377,63,8,164,131,24,192
1996,All Donor Types,50-64 Years,"3,091",70,28,11,407,26,28,0,34,179,39,10,117,47,29,13,30,49,6,75,109,107,126,5,79,24,5,5,49,12,214,65,9,137,22,44,337,3,0,20,6,52,170,26,5,86,72,6,98
1996,All Donor Types,65 +,557,9,0,1,54,0,8,0,2,23,0,0,31,2,3,0,7,1,2,16,16,7,28,1,11,9,0,0,17,0,81,24,0,19,5,5,97,0,0,0,1,6,28,1,0,19,8,6,9
1996,All Donor Types,Unknown,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1996,Deceased Donor,All Donor Ages,"15,983",365,174,80,"1,988",237,134,1,136,894,291,30,781,257,138,90,239,292,17,396,434,420,447,47,449,197,34,14,255,93,897,422,22,715,183,167,"1,448",7,0,191,11,389,"1,112",155,18,464,322,52,478
1996,Deceased Donor,< 1 Year,150,2,0,0,22,4,0,0,0,14,2,0,10,4,0,0,0,1,0,2,2,0,1,0,15,8,0,0,0,0,3,0,0,1,0,0,40,0,0,0,0,4,11,0,0,2,0,0,2
1996,Deceased Donor,1-5 Years,485,13,5,2,73,7,3,0,2,29,3,0,39,7,1,0,8,2,0,12,19,9,6,0,10,20,1,0,7,2,22,10,0,19,4,0,57,2,0,4,0,7,58,3,1,11,0,2,5
1996,Deceased Donor,6-10 Years,515,23,7,1,72,10,6,0,3,37,21,0,26,4,4,1,5,9,0,10,13,13,12,1,36,14,0,2,7,0,16,14,0,12,6,8,34,0,0,6,0,8,25,5,1,15,17,0,11
1996,Deceased Donor,11-17 Years,"2,337",69,23,11,267,53,16,0,11,117,51,4,106,63,13,15,42,60,5,58,40,91,83,14,75,33,2,0,24,5,99,53,1,81,35,21,185,2,0,26,1,49,203,45,3,57,65,6,54
1996,Deceased Donor,18-34 Years,"5,287",148,85,41,630,71,45,0,54,301,116,6,260,87,49,52,91,89,2,114,140,107,138,11,161,53,12,4,89,46,242,147,7,247,67,45,388,3,0,62,2,174,367,57,4,165,86,16,206
1996,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Deceased Donor,35-49 Years,"4,160",47,31,16,542,71,37,1,37,217,69,10,214,52,45,13,58,89,6,123,127,117,98,16,71,40,16,5,67,30,264,119,7,221,48,51,342,0,0,78,2,103,276,33,6,119,94,17,115
1996,Deceased Donor,50-64 Years,"2,524",56,23,8,333,21,19,0,27,156,29,10,97,38,23,9,29,42,2,62,79,76,86,4,69,21,3,3,45,10,174,55,7,117,18,39,305,0,0,15,5,39,145,12,3,77,52,5,76
1996,Deceased Donor,65 +,521,7,0,1,48,0,8,0,2,23,0,0,29,2,3,0,6,0,2,15,14,7,23,1,11,8,0,0,16,0,77,24,0,17,5,3,97,0,0,0,1,5,27,0,0,18,8,6,7
1996,Deceased Donor,Unknown,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1996,Living Donor,All Donor Ages,"3,782",85,32,32,477,40,51,1,67,124,80,6,160,34,40,17,29,51,14,115,163,206,209,6,85,30,11,16,42,15,240,104,21,178,21,38,180,18,0,26,6,89,223,63,6,83,81,15,152
